spread_rank,canonical_id,identifier_type,hyg_id,hip,hd,hr,gl,bf,proper_name,display_type,spectral_type,distance_pc,distance_ly,apparent_magnitude,absolute_magnitude,luminosity_lsol,color_index,constellation_abbr,constellation_name,ra_hours,dec_degrees,x_pc,y_pc,z_pc,nearest_selected_neighbor_pc,nearest_selected_neighbor_ly,source_catalog,source_url
1,HIP 114575,HIP,114213,114575,219029,,,,,Yellow Star,G5,205.7613,671.102826,7.88,1.313,25.989624,0.939,Peg,Pegasus,23.21014,10.952462,197.709715,-41.47624,39.093512,71.742537,233.992588,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2,HIP 105044,HIP,104706,105044,202398,,,,,Yellow-White Main Sequence,F5/F6V,69.8324,227.762563,8.09,3.87,2.466039,0.485,Mic,Microscopium,21.277212,-36.173372,42.645797,-36.865173,-41.217218,76.264279,248.740523,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
3,HIP 116162,HIP,115796,116162,,,,,,Orange Star,K0,467.2897,1524.093394,8.95,0.602,50.026486,1.056,And,Andromeda,23.536798,40.932852,350.434521,-42.70537,306.156106,54.809469,178.764371,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
4,HIP 112613,HIP,112253,112613,215801,,,,,Yellow-White Star,F0w,182.1494,594.091197,10.04,3.738,2.784838,0.453,Gru,Grus,22.808172,-46.064039,120.282655,-38.797826,-131.168653,71.735306,233.969006,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
5,HIP 115496,HIP,115131,115496,220401,8896,,,,Orange Giant,K3III,301.2048,982.397527,6.12,-1.274,281.57883,1.464,Gru,Grus,23.39595,-43.124429,217.097439,-34.620802,-205.8991,63.226302,206.216376,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
6,HIP 104180,HIP,103845,104180,,,,,,Yellow Star,G5,65.3595,213.173931,10.12,6.043,0.333273,0.476,Cyg,Cygnus,21.107499,32.457801,40.078486,-37.88379,35.077025,76.344222,249.00126,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
7,HIP 114348,HIP,113987,114348,218660,,,,,Orange Giant,K2III,235.2941,767.425825,6.59,-0.268,111.48078,1.155,Peg,Pegasus,23.159019,29.669631,199.510529,-44.64968,116.470195,71.742124,233.99124,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
8,HIP 112969,HIP,112609,112969,216533,,,,,White Star,A2p,234.7418,765.624465,7.88,1.027,33.822056,0.111,Cep,Cepheus,22.878307,58.806463,116.375259,-35.191915,200.803387,72.707882,237.14112,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
9,HIP 115866,HIP,115501,115866,220980,,,,,Orange Giant,K1III,346.0208,1128.5676,8.69,0.994,34.865829,1.233,Scl,Sculptor,23.475034,-35.256089,279.889404,-38.710937,-199.73427,63.226302,206.216376,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
10,HIP 116784,HIP,116418,116784,236195,,,,,Orange Star,K0,571.4286,1863.748665,9.34,0.555,52.239619,0.963,Cas,Cassiopeia,23.667802,51.55737,353.931983,-30.858787,447.560645,64.559729,210.565429,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
11,HIP 112275,HIP,111921,112275,215362,,,,,Orange Star,K0,132.2751,431.423175,7.36,1.753,17.330057,1.125,Peg,Pegasus,22.741492,14.290565,121.287356,-41.473008,32.650712,75.557592,246.435619,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
12,HIP 112211,HIP,111857,112211,215167,8649,,66    Aqr,,Orange Giant,K3III,132.8021,433.142017,4.68,-0.936,206.25287,1.358,Aqr,Aquarius,22.726454,-18.830375,118.772577,-41.13611,-42.864267,70.243398,229.103058,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
13,HIP 116568,HIP,116202,116568,222042,,,,,Yellow-White Main Sequence,F5V,416.6667,1358.983442,9.15,1.051,33.082628,0.506,Phe,Phoenix,23.622855,-44.122689,297.647699,-29.484374,-290.082157,58.849527,191.941263,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
